No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*,SMILES
22.0,Inpefa,sotagliflozin,5/26/2023,​To treat heart failure ,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)SC)O)O)O)Cl
21.0,Posluma,flotufolastat F 18,5/25/2023,To use with positron emission tomography imaging in certain patients with prostate cancer,CC(C)(C)[Si](C1=CC=C(C=C1)C(=O)NCC(C(=O)NC(CCCCNC(=O)CCC(=O)NCCCC(C(=O)O)NC(=O)CCC(C(=O)O)NC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)NC(=O)CCC(C(=O)O)N2CCN(CCN(CCN(CC2)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])(C(C)(C)C)F.[Ga+3]
20.0,Paxlovid,"nirmatrelvir, ritonavir",5/25/2023,To treat mild-to-moderate COVID-19 in adults at high risk for progression to severe COVID-19Press Release,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C
19.0,Xacduro,"sulbactam, durlobactam",5/23/2023,To treat hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia caused by susceptible isolates of Acinetobacter baumannii-calcoaceticus complexPress Release,
18.0,Epkinly,epcoritamab-bysp,5/19/2023,To treat relapsed or refractory diffuse large B-cell lymphoma (not otherwise specified) and high-grade B-cell lymphoma after two or more lines of systemic therapy,
17.0,Miebo,perfluorhexyloctane,5/18/2023,To treat signs and symptoms of dry eye disease,CCCCCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
16.0,Veozah,fezolinetant,5/12/2023,To treat moderate to severe hot flashes caused by menopausePress Release,CC1C2=NN=C(N2CCN1C(=O)C3=CC=C(C=C3)F)C4=NC(=NS4)C
15.0,Elfabrio,pegunigalsidase alfa-iwxj,5/9/2023,To treat confirmed Fabry disease,
14.0,Qalsody,tofersen,4/25/2023,To treat amyotrophic lateral sclerosis in adults who have a SOD1 gene mutation,
13.0,Joenja,leniolisib,3/24/2023,To treat activated phosphoinositide 3-kinase delta syndrome,CCC(=O)N1CCC(C1)NC2=NC=NC3=C2CN(CC3)C4=CC(=C(N=C4)OC)C(F)(F)F
12.0,Rezzayo,rezafungin,3/22/2023,To treat candidemia and invasive candidiasis,
11.0,Zynyz,retifanlimab-dlwr,3/22/2023,To treat metastatic or recurrent locally advanced Merkel cell carcinoma,
10.0,Daybue,trofinetide,3/10/2023,To treat Rett syndrome,CC1(CCCN1C(=O)CN)C(=O)NC(CCC(=O)O)C(=O)O
9.0,Zavzpret,zavegepant,3/9/2023,To treat migraine,CC1=CC(=CC2=C1NN=C2)CC(C(=O)N3CCN(CC3)C4CCN(CC4)C)NC(=O)N5CCC(CC5)C6=CC7=CC=CC=C7NC6=O
8.0,Skyclarys,omaveloxolone,2/28/2023,To treat Friedrich’s ataxia,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)NC(=O)C(C)(F)F)C
7.0,Filspari,sparsentan,2/17/2023,To reduce proteinuria in adults with primary immunoglobulin A nephropathy at risk of rapid disease progression,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC(=C(C=C3)C4=CC=CC=C4S(=O)(=O)NC5=NOC(=C5C)C)COCC
6.0,Lamzede,velmanase alfa-tycv,2/16/2023,To treat non-central nervous system manifestations of alpha-mannosidosis,
5.0,Jesduvroq,daprodustat,2/1/2023,To treat anemia caused by chronic kidney disease for adults on dialysis for at least four monthsPress Release,C1CCC(CC1)N2C(=O)C(C(=O)N(C2=O)C3CCCCC3)C(=O)NCC(=O)O
4.0,Orserdu,elacestrant ,1/27/2023,"To treat estrogen receptor-positive, human epidermal growth factor receptor 2-negative, ESR1-mutated, advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy",CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)C3CCC4=C(C3)C=CC(=C4)O
3.0,Jaypirca,pirtobrutinib,1/27/2023,"To treat relapsed or refractory mantle cell lymphoma in adults who have had at least two lines of systemic therapy, including a BTK inhibitor ",CC(C(F)(F)F)N1C(=C(C(=N1)C2=CC=C(C=C2)CNC(=O)C3=C(C=CC(=C3)F)OC)C(=O)N)N
2.0,Brenzavvy,bexagliflozin,1/20/2023,To improve glycemic control in adults with type 2 diabetes mellitus as an adjunct to diet and exercise,C1CC1OCCOC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl
1.0,Leqembi,lecanemab-irmb,1/6/2023,To treat Alzheimer’s diseasePress Release,
